jcp_reference_order,citation_key,doi,registry,title,doi_or_url,verified_utc,claim_supported,jcp_use,verification_notes
1,glavic2007sustainability,10.1016/j.jclepro.2006.12.006,crossref,Review of sustainability terms and their definitions,https://doi.org/10.1016/j.jclepro.2006.12.006,2026-09-25T08:03:21+00:00,Cleaner production is defined by prevention rather than by relocation of emissions,include,Crossref metadata verified; publication date 2007-12. Claim scope limited to the cited work's documented topic.
2,shi2016cleanerproduction,10.1016/j.jclepro.2015.11.034,crossref,Barriers and strategies applying Cleaner Production: a systematic review,https://doi.org/10.1016/j.jclepro.2015.11.034,2026-09-25T08:03:21+00:00,Cleaner-production implementation is constrained by documented organisational and evidence barriers,include,Crossref metadata verified; publication date 2016-2. Claim scope limited to the cited work's documented topic.
3,chertow2007symbiosis,10.1162/jiec.2007.1110,crossref,“Uncovering” Industrial Symbiosis,https://doi.org/10.1162/jiec.2007.1110,2026-09-25T08:03:21+00:00,Industrial symbiosis exchanges by-product energy and materials between co-located actors,include,Crossref metadata verified; publication date 2007-1. Claim scope limited to the cited work's documented topic.
4,hellweg2014lca,10.1126/science.1248361,crossref,"Emerging approaches, challenges and opportunities in life cycle assessment",https://doi.org/10.1126/science.1248361,2026-09-25T08:03:21+00:00,Life cycle assessment exists to reveal impacts displaced outside a narrow assessment boundary,include,Crossref metadata verified; publication date 2014-6-6. Claim scope limited to the cited work's documented topic.
5,finnveden2009lca,10.1016/j.jenvman.2009.06.018,crossref,Recent developments in Life Cycle Assessment,https://doi.org/10.1016/j.jenvman.2009.06.018,2026-09-25T08:03:21+00:00,Life cycle assessment methodology addresses trade-offs across impact categories and life-cycle stages,include,Crossref metadata verified; publication date 2009-10. Claim scope limited to the cited work's documented topic.
6,laurent2012carbonfootprint,10.1021/es204163f,crossref,Limitations of Carbon Footprint as Indicator of Environmental Sustainability,https://doi.org/10.1021/es204163f,2026-09-25T08:03:21+00:00,Single-indicator environmental optimization can misrepresent overall environmental performance,include,Crossref metadata verified; publication date 2012-4-3. Claim scope limited to the cited work's documented topic.
7,ryberg2018absolute,10.1111/jiec.12820,crossref,A Framework for Development and Communication of Absolute Environmental Sustainability Assessment Methods,https://doi.org/10.1111/jiec.12820,2026-09-25T08:03:21+00:00,Assessment methods that omit impact categories carry an explicit risk of burden shifting,include,Crossref metadata verified; publication date 2019-8. Claim scope limited to the cited work's documented topic.
8,moncaster2019burdenshifting,10.1016/j.jclepro.2019.03.171,crossref,The risk of burden shifting from embodied carbon calculation tools for the infrastructure sector,https://doi.org/10.1016/j.jclepro.2019.03.171,2026-09-25T08:03:21+00:00,Partial-boundary decision tools can shift burden to life-cycle stages outside the tool boundary,include,Crossref metadata verified; publication date 2019-6. Claim scope limited to the cited work's documented topic.
9,gonzalezgaray2019burdenshifting,10.1016/j.jclepro.2019.04.276,crossref,Life cycle burden-shifting in energy systems designed to minimize greenhouse gas emissions: Novel analytical method and application to the United States,https://doi.org/10.1016/j.jclepro.2019.04.276,2026-09-25T08:03:21+00:00,Optimizing energy systems for one environmental objective can shift burden to other impact categories,include,Crossref metadata verified; publication date 2019-8. Claim scope limited to the cited work's documented topic.
10,li2026datacenterburden,10.1016/j.jclepro.2026.149201,crossref,Uncovering the burden shifting of data center cooling: System-level water-energy-carbon optimization for urban infrastructure,https://doi.org/10.1016/j.jclepro.2026.149201,2026-09-25T08:03:21+00:00,Burden shifting in data-centre cooling has been analysed as a system-level water-energy-carbon trade-off,include,Crossref metadata verified; publication date 2026-9. Claim scope limited to the cited work's documented topic.
