parameter_id,component,parameter_name,value,unit,value_kind,source_ids,derivation,applicability,limitation
tn_max_temperature_change_c,surface_water,maximum temperature change,3,deg_C,direct_source,tn_surface_water_temperature,,Tennessee receiving-water screening.,Not a standalone discharge capacity.
tn_max_water_temperature_c,surface_water,maximum water temperature,30.5,deg_C,direct_source,tn_surface_water_temperature,,Tennessee receiving-water screening.,Upstream temperature is required.
tn_max_temperature_rate_c_per_hour,surface_water,maximum temperature change rate,2,deg_C/hour,direct_source,tn_surface_water_temperature,,Tennessee receiving-water screening.,A discharge time series is required.
tn_trout_water_max_temperature_c,surface_water,recognized trout-water maximum temperature,20,deg_C,direct_source,tn_surface_water_temperature,,Only if a candidate receiving water is trout water.,Receiving-water classification is not established.
orr_potential_wetland_area_ha,sensitive_environment,potential wetland area on Oak Ridge Reservation,235,hectare,direct_source,orr_sensitive_environment,,Site-level environmental context.,Not a project footprint or route map.
ornl_npdes_permit_id,surface_water,ORNL sitewide NPDES permit,TN0002941,identifier,direct_source,ornl_npdes_context,,Existing site discharge context.,Does not authorize a new thermal discharge by inference.
storage_generic_capacity_mwh,thermal_storage,generic TTES reference capacity,290,MWh_th,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_generic_volume_m3,thermal_storage,generic TTES reference volume,5000,m3,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_generic_temperature_difference_k,thermal_storage,generic TTES reference temperature difference,55,K,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_generic_max_hot_temperature_c,thermal_storage,generic TTES maximum hot temperature,99,deg_C,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_cost_formula_min_volume_m3,thermal_storage,generic TTES minimum modeled volume,900,m3,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_cost_formula_max_volume_m3,thermal_storage,generic TTES maximum modeled volume,12000,m3,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_generic_temperature_difference_k_minimum,thermal_storage,generic TTES minimum temperature difference,40,K,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
storage_generic_temperature_difference_k_maximum,thermal_storage,generic TTES maximum temperature difference,60,K,derived,dea_ttes_capacity_basis,Copied from the validated Phase C technology parameter table.,Generic storage sensitivity only.,Not a Frontier or ORNL storage design unless case inputs are supplied.
case_surface_water_flow_m3_s,surface_water,candidate receiving-water flow,,m3/s,missing_required,epa_npdes_thermal_framework;tn_mixing_zone_protections,,Case-specific environmental gate.,Required to convert temperature criteria to a hydraulic heat-load bound.
case_surface_water_upstream_temperature_c,surface_water,candidate receiving-water upstream temperature,,deg_C,missing_required,epa_npdes_thermal_framework;tn_mixing_zone_protections,,Case-specific environmental gate.,Required to evaluate the 30.5 deg C absolute criterion.
case_surface_water_mixing_zone,surface_water,approved thermal mixing-zone definition,,site_specific,missing_required,epa_npdes_thermal_framework;tn_mixing_zone_protections,,Case-specific environmental gate.,No candidate outfall or approved mixing zone exists.
case_aquatic_biological_assessment,surface_water,aquatic biological and cumulative-impact assessment,,site_specific,missing_required,epa_npdes_thermal_framework;tn_mixing_zone_protections,,Case-specific environmental gate.,Required before any practical thermal-discharge recommendation.
case_storage_volume_m3,thermal_storage,case-specific tank volume,,m3,missing_required,,,Case-specific environmental gate.,Required to fix the practical storage capacity.
case_storage_operating_delta_temperature_k,thermal_storage,case-specific storage temperature difference,,K,missing_required,,,Case-specific environmental gate.,ORNL return temperature and storage design remain unavailable.
case_route_sensitive_area_clearance,sensitive_environment,route and footprint environmental clearance,,site_specific,missing_required,,,Case-specific environmental gate.,No hot-water route or project footprint has been defined.
case_cumulative_residual_heat_mwh,cumulative_load,annual residual rejected heat,,MWh_th/year,missing_required,,,Case-specific environmental gate.,"Requires synchronized source, demand, storage, and outage dispatch."
