candidate_id,sector,case_name,location,open_auditable_data_score,reconstructable_heat_score,temperature_grade_score,temporal_profile_score,plausible_technology_score,resolvable_climate_score,engineering_literature_score,no_indispensable_proprietary_dependency_score,total_score,primary_data_url,supporting_source_url,data_resolution,selection_role,decision_reason,limitation
frontier_hpc_ornl,data_center,"Frontier HPC waste heat and ORNL campus demand pathway","Oak Ridge, Tennessee, USA",2,2,2,2,2,2,2,2,16,https://doi.org/10.6084/m9.figshare.24391240.v4,https://www.osti.gov/biblio/2329591,"Nominal 10-minute source-side measurements for calendar year 2023","primary case","Best direct fit to conserved waste-heat allocation: measured quantity and grade are linked to a public heat-pump engineering assessment and nearby campus demand","No measured time-resolved receiving-demand series is public; the report provides a 1-2 MW demand range and annual scenario results"
sonderborg_district_heating,district_heating_geothermal,"Sønderborg district-heating network","Sønderborg, Denmark",2,2,2,2,2,2,2,2,16,https://doi.org/10.5281/zenodo.7972964,http://geodh.eu/project/sonderborg/,"15-minute heat load and feed/return temperatures for seven plants, 2016-2019","contrasting validation case","Provides an independent open demand/network-temperature series for checking storage and dispatch behavior without duplicating the data-center source class","Not a counterfactual waste-heat-rejection case and therefore cannot substitute for the primary Frontier analysis"
nrel_esif_hpc,data_center_large_cooling,"NREL ESIF hybrid air/liquid-cooled HPC system","Golden, Colorado, USA",1,2,2,2,2,2,2,1,14,https://github.com/M-D-Murphy/Data-Centre-Waste-Heat,https://www.nrel.gov/computational-science/data-center-cooling-system.html,"One-minute supply temperature, return temperature, and cooling power over 12 months","non-selected candidate","Strong measured source profile and engineering context, retained as a possible source-side sensitivity","Repository-level reuse terms and a time-resolved receiving-demand series were not confirmed"
helsinki_katri_vala,wastewater_district_energy,"Katri Vala wastewater and district-cooling heat-pump plant","Helsinki, Finland",2,1,2,1,2,2,2,1,13,https://avoindata.suomi.fi/data/en_GB/dataset/helsingin-kaukolammon-tuotantotarve,https://www.helen.fi/en/about-us/energy/energy-production/power-plants/katri-vala-heating-and-cooling-plant,"Hourly citywide district-heat demand; public plant capacity and source description","non-selected candidate","Open demand data and a documented large heat-pump receiving pathway make this a useful contextual comparator","Public source data do not isolate an hourly plant-level recoverable-heat stream"
odense_meta_data_center,data_center_district_heating,"Meta data-center surplus heat to Fjernvarme Fyn","Odense, Denmark",1,1,2,0,2,2,2,1,11,https://c2e2.unepccc.org/kms_object/fjernvarme-fyn-utilization-of-surplus-heat-from-data-centers/,https://www.ramboll.com/projects/energy/meta-surplus-heat-to-district-heating,"Public design capacity and annual heat-delivery statements","non-selected candidate","Operational data-center heat recovery provides a strong engineering analogue for interpreting the Frontier case","No auditable time-resolved source or demand profile was identified"
kalundborg_wastewater,wastewater_district_heating,"Kalundborg industrial-wastewater heat pump","Kalundborg, Denmark",1,1,2,1,2,2,2,1,12,https://kalfor.dk/baeredygtig-forsyning/fra-spildevand-til-groen-fjernvarme,https://danskfjernvarme.dk/media/lcgnphch/inspirational-catalogue-for-large-heat-pumps.pdf,"Public seasonal source temperatures, capacity, COP range, and annual/full-load context","non-selected candidate","Well-documented real heat-pump system with useful technology ranges","No public hourly wastewater flow, source heat, or receiving-demand series was identified"
bunhill_2_metro,metro_rail_district_heating,"Bunhill 2 London Underground heat recovery","London, United Kingdom",1,1,2,0,2,2,2,1,11,https://www.islington.media/news/bunhill-2-launch-pr,https://corporate.jctltd.co.uk/bunhill-2-energy-centre/,"Public source-temperature range and plant/storage/network capacities","non-selected candidate","Operational metro waste-heat recovery covers a requested source class and documents a finite local network pathway","No open time-resolved tunnel heat-source or demand data were identified"
multipack_supermarkets,refrigeration_cold_chain,"MultiPACK CO2 supermarket refrigeration and heat recovery","Rome and Trento, Italy",2,1,2,1,2,2,2,1,13,https://doi.org/10.18710/T5OHPR,https://doi.org/10.18462/iir.gl.2020.1162,"Field measurements for representative days plus one-year energy summaries","non-selected candidate","Open field evidence covers refrigeration rejection, on-site heat demand, and integrated thermal service","The public record does not provide a continuous full-year source-and-demand time series at the same detail as Frontier or Sønderborg"
us_thermoelectric_cooling,power_plant,"US thermoelectric generation and cooling-water reporting","United States",2,1,1,2,1,2,2,2,13,https://www.eia.gov/electricity/data/water/,https://www.eia.gov/electricity/data/eia923/,"Monthly cooling-water data and monthly generation/fuel data; hourly emissions and load available for covered units from EPA CAMD","non-selected candidate","National public reporting can support a separate large-scale thermal-discharge study","Recoverable heat grade and a credible receiving-demand pathway cannot be reconstructed consistently without plant-specific engineering data"
danish_industrial_surplus_heat,industrial_waste_heat,"Danish Energy Producer Census public surplus-heat subset","Denmark",2,1,1,0,1,2,2,2,11,https://ens.dk/media/6368/download,https://doi.org/10.5194/agile-giss-6-22-2025,"Annual supplier/system/municipality context for the public 2021-2023 subset","non-selected candidate","Provides transparent national context for industrial surplus-heat uptake","Annual aggregation lacks source temperature, hourly availability, and dispatch data"
gorzyce_wastewater,wastewater_district_heating,"Wastewater-source heat-pump case at Gorzyce treatment plant","Gorzyce, Poland",1,1,2,1,2,2,1,0,10,https://doi.org/10.3390/en18051206,https://www.mdpi.com/1996-1073/18/5/1206,"Published daily/monthly operating observations and modeled system quantities","non-selected candidate","Recent case evidence provides source-temperature and flow context","The underlying operational dataset and all required techno-economic inputs were not found as an independently downloadable open dataset"
